,unique,num,freq,global
281,"PHYSICS,   NUCLEAR",18,39,physics
317,"PSYCHOLOGY, SOCIAL",18,15,psychology
28,"BUSINESS, FINANCE",17,80,business
91,ENERGY \&   FUELS,17,1,energy
367,TROPICAL MEDICINE,17,5,medicine
299,POLITICAL SCIENCE,17,102,political
300,POLYMER   SCIENCE,17,2,polymer
88,ELECTROCHEMISTRY,16,28,chemistry
74,CULTURAL STUDIES,16,39,cultural studies
283,"PHYSICS, APPLIED",16,241,physics
290,"PHYSICS, NUCLEAR",16,14,physics
333,REMOTE   SENSING,16,10,remote
73,CRYSTALLOGRAPHY,15,1,crystallography
92,ENERGY \& FUELS,15,108,energy
230,"MEDICINE, LEGAL",15,5,medicine
355,SUBSTANCE ABUSE,15,7,medicine
361,TRANSPLANTATION,15,4,medicine
301,POLYMER SCIENCE,15,7,polymer
368,URBAN   STUDIES,15,3,urban studies
374,WATER RESOURCES,15,35,water
375,WOMEN'S STUDIES,15,7,women
10,ANESTHESIOLOGY,14,8,anesthesiology
297,PLANT SCIENCES,14,17,biology
123,ETHNIC STUDIES,14,3,ethnic
125,FAMILY STUDIES,14,4,family studies
331,REHABILITATION,14,38,rehabilitation
334,REMOTE SENSING,14,289,remote
352,SPORT SCIENCES,14,10,sport
359,THERMODYNAMICS,14,14,thermodynamics
362,TRANSPORTATION,14,32,transportation
16,ASIAN STUDIES,13,3,asian studies
43,COMMUNICATION,13,416,communication
249,NEUROSCIENCES,13,31,neurosciences
262,OPHTHALMOLOGY,13,19,ophthalmology
341,SOCIAL ISSUES,13,52,social sciences
369,URBAN STUDIES,13,63,urban studies
11,ANTHROPOLOGY,12,22,anthropology
13,ARCHITECTURE,12,156,architecture
14,AREA STUDIES,12,24,area studies
31,CELL BIOLOGY,12,26,biology
239,MICROBIOLOGY,12,5,biology
155,HORTICULTURE,12,12,horticulture
337,RHEUMATOLOGY,12,7,medicine
248,NEUROIMAGING,12,4,neurosciences
255,OCEANOGRAPHY,12,23,oceanography
267,PALEONTOLOGY,12,8,paleontology
268,PARASITOLOGY,12,1,biology
350,SOIL SCIENCE,12,11,soil
351,SPECTROSCOPY,12,25,spectroscopy
12,ARCHAEOLOGY,11,49,archaeology
77,DERMATOLOGY,11,25,dermatology
142,GERONTOLOGY,11,5,gerontology
182,LINGUISTICS,11,74,language
217,MATHEMATICS,11,8,mathematics
265,ORTHOPEDICS,11,26,medicine
264,ORNITHOLOGY,11,1,ornithology
